respondent_id,area_dubai,accommodation_type,household_size,monthly_budget_aed,weekly_chore_hours,academic_workload_1_5,chore_interference_1_5,cleanliness_satisfaction_1_5,sel_room,sel_bathroom,sel_kitchen,sel_laundry,sel_ironing,sel_dishwashing,sel_bedding,sel_trash,sel_grocery,sel_window,num_chores_selected,q2_filler_item,q3_anchor_item,q4_laundry_ironing_pairing,q5_grocery_bundling,q6_chores_per_visit,q7_preferred_package,exam_room,exam_bathroom,exam_kitchen,exam_laundry,exam_grocery,exam_dishwashing,num_exam_chores_selected,q9_laundry_addon_decision,q10_packaging_preference
R1054,Academic City,University dorm/hostel,3,1310,4.5,2,2,3,1,1,1,1,0,1,0,0,0,0,5,Dishwashing,Kitchen cleaning,Don't need ironing,Not interested in either,5-6,Standard Clean,1,0,1,0,0,0,2,No,Build my own each time
R1055,Bur Dubai,Shared apartment,4,4540,8.3,5,5,1,1,1,1,0,0,1,0,1,1,0,6,Trash disposal,Kitchen cleaning,Don't need ironing,Separate service,3-4,Standard Clean,1,1,1,0,1,1,5,Yes,One flat all-inclusive package
R1056,Dubai Silicon Oasis,University dorm/hostel,2,3440,8.5,5,4,2,1,1,1,1,1,0,0,0,0,0,5,Ironing,Bathroom cleaning,"Yes, always together",Not interested in either,3-4,Standard Clean,1,1,0,1,0,1,4,No,One flat all-inclusive package
R1057,Al Barsha,Shared apartment,4,3240,4.9,3,2,4,1,0,1,1,1,1,1,0,0,0,6,Bedding/linen change,Room/floor cleaning,"No, separately",Not interested in either,3-4,Full Care,1,1,0,1,1,1,5,No,"Either, depending on price"
R1058,Dubai Silicon Oasis,Living with family,4,3930,4.1,4,2,4,1,0,0,1,1,0,0,0,0,0,3,Ironing,Room/floor cleaning,"Yes, always together",Not interested in either,3-4,Standard Clean,1,0,0,1,1,1,4,No,Build my own each time
R1059,Al Barsha,Shared apartment,2,3990,5.2,4,2,3,1,1,1,0,0,1,1,0,0,0,5,Bedding/linen change,Room/floor cleaning,"No, separately",Separate service,3-4,Standard Clean,1,1,0,1,1,0,4,Depends on load size,One flat all-inclusive package
R1060,Discovery Gardens,Shared apartment,3,2740,5.7,2,2,3,1,1,1,0,0,1,0,0,0,0,4,Dishwashing,Room/floor cleaning,Don't need ironing,Separate service,3-4,Standard Clean,1,1,0,1,0,1,4,No,One flat all-inclusive package
R1061,Al Barsha,Shared apartment,4,2410,2.0,4,2,4,1,1,1,0,0,1,1,0,0,1,6,Dishwashing,Room/floor cleaning,Don't need ironing,Not interested in either,5-6,Standard Clean,1,1,0,0,1,1,4,No,"Either, depending on price"
R1062,Deira,Shared apartment,4,3770,3.5,3,3,3,1,0,1,0,0,0,0,0,1,0,3,None selected,Room/floor cleaning,Don't need ironing,Bundled together,3-4,Standard Clean,1,1,0,1,1,0,4,No,Build my own each time
R1063,Discovery Gardens,Shared apartment,3,2130,1.2,2,1,5,1,1,1,0,0,0,1,1,0,0,5,Trash disposal,Bathroom cleaning,Don't need ironing,Not interested in either,5-6,Standard Clean,1,0,0,1,1,1,4,No,"Either, depending on price"
R1064,Al Barsha,Living with family,2,4470,5.8,3,4,2,1,1,1,1,1,0,0,0,0,0,5,Ironing,Bathroom cleaning,"No, separately",Separate service,3-4,Standard Clean,1,1,0,1,1,1,5,Yes,One flat all-inclusive package
R1065,Academic City,Shared apartment,3,1120,5.8,2,2,5,1,1,1,0,0,0,0,0,0,0,3,None selected,Kitchen cleaning,Don't need ironing,Not interested in either,3-4,Quick Tidy,1,1,0,1,0,1,4,No,Build my own each time
R1066,Dubai Silicon Oasis,Living with family,3,5340,3.5,1,1,5,1,1,1,0,0,1,0,0,0,0,4,Dishwashing,Room/floor cleaning,Don't need ironing,Separate service,1-2,Standard Clean,1,1,0,0,1,0,3,Yes,One flat all-inclusive package
R1067,Deira,Living with family,4,4560,7.1,2,2,4,1,1,1,0,0,1,1,0,0,0,5,Bedding/linen change,Bathroom cleaning,Don't need ironing,Separate service,5-6,Full Care,1,1,1,1,1,0,5,Depends on load size,Build my own each time
R1068,Dubai Silicon Oasis,University dorm/hostel,2,3560,2.5,5,1,5,1,1,0,0,0,0,0,0,0,0,2,None selected,Bathroom cleaning,Don't need ironing,Not interested in either,1-2,Quick Tidy,1,0,1,0,0,1,3,Depends on load size,One flat all-inclusive package
R1069,Al Qusais,University dorm/hostel,2,4580,2.1,4,3,3,1,1,0,1,1,0,0,0,1,0,5,Ironing,Room/floor cleaning,"No, separately",Bundled together,3-4,Standard Clean,1,1,1,1,1,0,5,Depends on load size,One flat all-inclusive package
R1070,Deira,University dorm/hostel,3,5530,4.9,5,4,2,1,1,0,1,1,1,0,0,0,1,6,Dishwashing,Bathroom cleaning,"No, separately",Separate service,5-6,Standard Clean,1,1,1,1,1,1,6,Depends on load size,One flat all-inclusive package
R1071,Al Barsha,University dorm/hostel,2,4620,7.1,3,3,3,1,1,1,1,0,1,1,0,1,0,7,Bedding/linen change,Room/floor cleaning,"No, separately",Bundled together,All of them,Full Care,1,1,1,1,1,0,5,Yes,One flat all-inclusive package
R1072,Dubai Silicon Oasis,University dorm/hostel,1,800,8.9,3,3,3,1,1,1,0,0,0,0,0,0,0,3,None selected,Bathroom cleaning,Don't need ironing,Not interested in either,3-4,Quick Tidy,1,1,1,0,0,0,3,Depends on load size,Build my own each time
R1073,Deira,Apartment alone,1,2610,4.6,4,3,3,1,0,0,1,1,0,0,1,1,0,5,Trash disposal,Room/floor cleaning,"Yes, always together",Bundled together,5-6,Standard Clean,1,1,1,1,1,0,5,Depends on load size,Build my own each time
R1074,Jumeirah Village Circle,University dorm/hostel,1,2330,7.7,3,2,5,1,1,1,1,1,1,1,1,0,0,8,Trash disposal,Room/floor cleaning,"Yes, always together",Not interested in either,All of them,Full Care,1,1,1,0,0,0,3,No,"Either, depending on price"
R1075,Jumeirah Village Circle,Shared apartment,2,3540,4.9,2,1,5,1,1,1,0,0,1,1,0,0,1,6,Dishwashing,Bathroom cleaning,"No, separately",Not interested in either,3-4,Standard Clean,1,1,0,0,1,0,3,Yes,One flat all-inclusive package
R1076,Deira,Living with family,3,4620,4.2,4,3,4,1,1,0,1,0,0,0,1,0,0,4,Trash disposal,Bathroom cleaning,Don't need ironing,Not interested in either,3-4,Standard Clean,0,1,1,0,0,0,2,Depends on load size,One flat all-inclusive package
R1077,Dubai Silicon Oasis,University dorm/hostel,1,2180,7.3,3,2,4,1,1,0,0,0,0,1,1,0,1,5,Window cleaning,Bathroom cleaning,Don't need ironing,Not interested in either,3-4,Standard Clean,1,1,0,1,0,0,3,Yes,Build my own each time
R1078,Discovery Gardens,Living with family,3,4160,5.8,4,3,3,1,1,1,1,0,1,1,0,1,0,7,Bedding/linen change,Kitchen cleaning,"No, separately",Bundled together,All of them,Full Care,1,1,0,1,1,0,4,Depends on load size,"Either, depending on price"
R1079,Dubai Silicon Oasis,Shared apartment,3,2440,1.3,4,1,5,1,0,1,1,0,0,0,0,0,1,4,Window cleaning,Room/floor cleaning,Don't need ironing,Separate service,3-4,Standard Clean,1,1,0,1,1,1,5,Yes,"Either, depending on price"
R1080,Bur Dubai,University dorm/hostel,1,2340,8.5,2,3,3,1,1,1,1,0,1,0,0,0,0,5,Dishwashing,Kitchen cleaning,Don't need ironing,Not interested in either,5-6,Full Care,1,0,0,1,0,1,3,No,One flat all-inclusive package
R1081,Academic City,Apartment alone,1,2430,8.3,2,3,3,1,1,0,0,0,0,1,0,0,0,3,Bedding/linen change,Bathroom cleaning,Don't need ironing,Separate service,3-4,Standard Clean,1,1,1,1,0,1,5,No,One flat all-inclusive package
R1082,Discovery Gardens,Shared apartment,5,2210,2.2,4,1,5,1,1,0,1,1,0,0,0,1,0,5,Ironing,Room/floor cleaning,"Yes, always together",Bundled together,5-6,Standard Clean,1,1,1,1,1,1,6,Yes,"Either, depending on price"
R1083,Dubai Silicon Oasis,Living with family,2,2010,5.8,3,3,3,1,0,1,1,1,0,1,0,0,0,5,Bedding/linen change,Room/floor cleaning,"Yes, always together",Not interested in either,5-6,Full Care,0,1,1,0,1,0,3,Yes,"Either, depending on price"
R1084,Al Barsha,Apartment alone,1,3030,6.5,2,2,4,1,1,1,0,0,1,1,1,0,1,7,Dishwashing,Kitchen cleaning,Don't need ironing,Not interested in either,5-6,Exam Week Rescue,1,1,1,1,1,0,5,No,"Either, depending on price"
R1085,Al Barsha,Living with family,4,5380,4.5,5,2,3,1,1,0,1,1,0,1,0,1,0,6,Ironing,Bathroom cleaning,"Yes, always together",Bundled together,5-6,None of these - custom mix,1,0,0,0,1,0,2,Yes,"Either, depending on price"
R1086,Jumeirah Village Circle,Shared apartment,3,2170,3.4,2,2,4,1,1,1,0,0,0,0,0,0,0,3,None selected,Room/floor cleaning,Don't need ironing,Separate service,3-4,Standard Clean,1,0,1,1,1,1,5,No,"Either, depending on price"
R1087,Academic City,University dorm/hostel,3,6890,3.2,4,3,2,1,1,1,0,0,0,1,0,0,0,4,Bedding/linen change,Kitchen cleaning,Don't need ironing,Not interested in either,3-4,Standard Clean,1,1,1,0,0,1,4,No,"Either, depending on price"
R1088,Bur Dubai,Apartment alone,1,5090,5.4,5,3,4,0,1,0,1,0,0,1,0,0,1,4,Window cleaning,Bathroom cleaning,"No, separately",Not interested in either,3-4,None of these - custom mix,1,1,1,0,0,0,3,Depends on load size,One flat all-inclusive package
R1089,Academic City,Living with family,2,4160,7.3,3,3,3,1,0,1,0,0,0,0,0,0,0,2,None selected,Kitchen cleaning,Don't need ironing,Separate service,1-2,Standard Clean,1,0,1,0,0,1,3,Depends on load size,Build my own each time
R1090,Dubai Silicon Oasis,Living with family,3,2700,5.6,2,2,3,1,1,1,1,1,1,0,1,0,0,7,Trash disposal,Room/floor cleaning,"Yes, always together",Not interested in either,5-6,Exam Week Rescue,1,1,0,0,1,1,4,Yes,One flat all-inclusive package
R1091,Jumeirah Village Circle,Shared apartment,5,4480,2.8,2,2,3,1,1,1,0,0,1,1,0,0,0,5,Dishwashing,Bathroom cleaning,Don't need ironing,Not interested in either,3-4,Full Care,1,1,0,0,1,0,3,Yes,"Either, depending on price"
R1092,Jumeirah Village Circle,Shared apartment,5,2690,5.0,3,2,4,1,1,1,1,1,1,0,0,0,0,6,Dishwashing,Room/floor cleaning,"Yes, always together",Not interested in either,5-6,Full Care,1,1,1,1,1,0,5,No,"Either, depending on price"
R1093,Academic City,Apartment alone,1,4570,1.0,2,1,5,1,0,0,0,0,0,1,0,1,0,3,Bedding/linen change,Room/floor cleaning,Don't need ironing,Bundled together,1-2,Standard Clean,1,0,1,1,0,1,4,Depends on load size,Build my own each time
R1094,Deira,Shared apartment,4,7080,6.3,4,2,4,1,1,1,1,1,0,0,1,1,0,7,Trash disposal,Kitchen cleaning,"No, separately",Bundled together,5-6,Full Care,1,0,1,1,1,0,4,Depends on load size,One flat all-inclusive package
R1095,Academic City,Living with family,3,3770,1.0,2,1,4,0,1,0,0,0,1,0,0,0,0,2,Dishwashing,Bathroom cleaning,Don't need ironing,Separate service,1-2,None of these - custom mix,0,1,1,0,1,0,3,No,One flat all-inclusive package
R1096,Academic City,Living with family,3,5510,3.8,4,2,4,1,1,1,1,0,1,0,0,0,0,5,Dishwashing,Kitchen cleaning,Don't need ironing,Not interested in either,5-6,Full Care,1,1,0,1,1,0,4,Yes,One flat all-inclusive package
R1097,Discovery Gardens,Shared apartment,4,2520,1.8,5,1,5,1,1,1,1,1,1,1,1,0,0,8,Trash disposal,Kitchen cleaning,"Yes, always together",Not interested in either,All of them,None of these - custom mix,1,0,1,1,0,0,3,Depends on load size,One flat all-inclusive package
R1098,Dubai Silicon Oasis,Apartment alone,1,4350,2.9,5,3,3,1,1,1,1,0,1,1,0,0,0,6,Dishwashing,Kitchen cleaning,Don't need ironing,Separate service,5-6,Full Care,1,1,0,0,0,1,3,Depends on load size,One flat all-inclusive package
R1099,Dubai Silicon Oasis,Apartment alone,1,6880,7.8,4,4,2,1,1,1,1,1,1,1,0,1,0,8,Bedding/linen change,Kitchen cleaning,"Yes, always together",Bundled together,5-6,Full Care,1,1,0,1,1,0,4,Depends on load size,"Either, depending on price"
R1100,Dubai Silicon Oasis,University dorm/hostel,3,2320,3.6,3,1,5,1,0,1,0,0,0,1,0,0,0,3,Bedding/linen change,Room/floor cleaning,Don't need ironing,Not interested in either,3-4,None of these - custom mix,0,1,1,0,0,1,3,Depends on load size,One flat all-inclusive package
R1101,Academic City,Living with family,4,6440,4.7,4,2,4,1,1,1,1,1,1,1,0,1,1,9,Window cleaning,Bathroom cleaning,"Yes, always together",Bundled together,5-6,Full Care,1,1,1,1,0,1,5,Yes,One flat all-inclusive package
R1102,Al Barsha,Shared apartment,4,4490,3.9,4,3,4,1,1,1,0,0,0,0,0,0,0,3,None selected,Bathroom cleaning,Don't need ironing,Separate service,3-4,Standard Clean,1,1,0,0,0,0,2,Yes,Build my own each time
R1103,Academic City,Living with family,3,3110,5.5,3,4,2,1,1,1,0,1,0,0,0,0,0,4,Ironing,Bathroom cleaning,Don't need ironing,Separate service,1-2,Standard Clean,1,1,0,1,1,0,4,No,One flat all-inclusive package
R1104,Bur Dubai,Shared apartment,4,4390,4.2,2,2,4,1,1,1,0,0,1,0,0,1,0,5,Dishwashing,Room/floor cleaning,Don't need ironing,Bundled together,5-6,Standard Clean,0,0,1,0,0,0,1,No,"Either, depending on price"
R1105,Al Barsha,Living with family,3,5260,1.9,5,2,3,1,1,1,1,1,1,0,1,0,0,7,Trash disposal,Room/floor cleaning,"Yes, always together",Not interested in either,5-6,Exam Week Rescue,1,1,0,1,0,0,3,Yes,One flat all-inclusive package
